"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers","averageRating","numVotes"
"tt10196368","Nothing Compares",2022,"97","Documentary","nm9276171","nm3822097, nm9276171, nm10678822",7.9,97
"tt10196398","Bye Bye Morons",2020,"87","Comedy,Drama","nm0243355","nm0243355, nm0738925, nm5473573",6.7,5179
"tt10196464","Ramprasad Ki Tehrvi",2019,"115","Comedy,Drama","nm1260157","nm1260157",7.5,5443
"tt10196480","North by Current",2021,"86","Documentary","nm3116681","nm3116681",6.5,116
"tt10196578","Reel 2",2020,"104","Horror","nm3972495","nm3972495",7.2,52
"tt10196620","Shepherd",2021,"103","Horror,Mystery","nm2048708","nm2048708",4.9,633
"tt10197632","Woman in Car",2021,"109","Drama","nm0741722","nm0741722",4.6,111
"tt10197650","Bad Girl",2019,"100","Drama,Sport","nm0901403","nm0901403",5.9,360
"tt10198072","Don't Let Them In",2020,"81","Horror,Mystery","nm3881379","nm3887429, nm3881379",4.6,925
"tt10198564","Bullet Proof",2022,"81","Action","nm1595718","nm3112415, nm3323483, nm1595718",7,87
"tt10199586","Atlantics",2019,"106","Drama,Mystery,Romance","nm2841936","nm2841936, nm3453577",6.7,9446
