"tconst","primaryTitle","startYear","runtimeMinutes","genres","directors","writers"
"tt10240752","Wander Life",2018,"77","Drama","nm7607510","nm7607510"
"tt10240886","A Cold Hard Truth",2019,"105","Drama","nm0614880","nm0614880"
"tt10241024","2 Weeks in Lagos",2019,"107","Romance","nm5094272","nm5094272"
"tt10241130","Three Legged Horse",2022,"123","Drama","nm5095524","nm5095524, nm1815907"
"tt10241186","Lakhanwadicha Raja",2016,"143","Drama","nm10647081","nm10647081"
"tt10241772","Dakota",2022,"96","Family","nm0364963","nm1118327"
"tt10242388","Last Seen Alive",2022,"95","Action,Drama,Thriller","nm0329023","nm0296827"
"tt10243676","After Blue",2021,"127","Fantasy,Sci-Fi","nm1252362","nm1252362"
"tt10243678","Chopsticks",2019,"100","Comedy,Drama","nm1966139","nm5485355, nm1966139"
"tt10243992","I'm Your Woman",2020,"120","Crime,Drama","nm1257352","nm1257352, nm3527897"
"tt10244008","Ghost",2020,"85","Drama","nm4032740","nm4032740"
"tt10244472","Hullor",2020,"128","Comedy","nm3694107","nm3694107"
"tt10244550","Blindfold",2020,"100","Drama,Sport","nm9044390","nm9044390, nm9951989"
"tt10244726","Bruno Aleixo's Film",2019,"91","Comedy","nm4566375, nm4566343","nm4566375, nm4566343"
"tt10244754","Lillian",2019,"130","Adventure,Drama","nm3161822","nm3161822"
"tt10244760","Ghost Tropic",2019,"85","Drama","nm2483574","nm2483574"
"tt10244774","The Bag Girls",2020,"92","Crime","nm8007406, nm8001323","nm8001323"
"tt10244910","C- Bar, II",2019,"64","Western","nm2698579","nm6568865"
"tt10245106","Dreamin' Wild",2022,"110","Biography,Drama,Music","nm0688361","nm10649128, nm0688361"
"tt10245362","Almost Free",2019,"63","Drama","nm10649232","nm10649232"
"tt10245616","My Father, the Bride",2019,"95","Comedy,Drama,Family","nm7941301","nm7941301"
"tt10245776","The Canyonlands",2021,"99","Horror","nm10556918","nm10556918"
"tt10245928","Hot Soup",2020,"102","Drama","nm0955390","nm6498321, nm6557964, nm10649530, nm0955390"
"tt10245956","Superstorm: A Love Story",2019,"76","Comedy,Drama,Romance","nm3583561","nm3796099, nm3583561"
"tt10247160","Jwlwi - The Seed",2019,"90","Drama","nm3973347","nm3973347"
"tt10247678","Sensation",2021,"99","Mystery,Sci-Fi,Thriller","nm10125154","nm7590966, nm10125154"
"tt10247750","Ordinary Justice",2020,"84","Drama","nm3113919","nm3113919"
"tt10248344","Adam's Package",2019,"81","Comedy,Sci-Fi","nm0157024","nm0022581, nm0157024"
"tt1024855","Gunned Down",2017,"95","Action,Thriller","nm1654324","nm0265492, nm1433381, nm2173620, nm0363857, nm2642243"
"tt10249292","Stand Still",2020,"101","Drama","nm9239189","nm9239189"
"tt10249374","Underdogs",2019,"65","Documentary,Music,Sport","nm10650712","nm10650712"
"tt10249842","M6 The Missing 6",2019,"78","Horror","nm4654421","nm4654421"
